"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000020914",30.0521414760457,-1.76700456966175,0.447475079537269,-3.94883346685808,7.85329600102289e-05,0.00328892949232028
"ENSMUSG00000020948",2235.27801362751,-0.513268484332853,0.107041069030496,-4.79506126930239,1.62625118483928e-06,0.000232936566769627
"ENSMUSG00000021111",6676.8424212129,-0.289485237525922,0.0842994547762709,-3.43401079276503,0.000594720515714446,0.0125129605040469
"ENSMUSG00000021112",2142.40532762035,-0.293606429677639,0.100208293899728,-2.92996136598666,0.00339004148958376,0.0394694379712809
"ENSMUSG00000021116",1667.6733198942,-0.38219626621495,0.113937720146766,-3.35443140096741,0.000795282692882259,0.0151968536997512
"ENSMUSG00000021250",1684.08874084969,-2.05821500042096,0.630699397996756,-3.26338507212519,0.00110089825334518,0.0188212745519244
"ENSMUSG00000021270",30480.3506255342,-0.411330886159155,0.0860467442810762,-4.78031899516757,1.75017270571177e-06,0.000245723737903738
"ENSMUSG00000021277",1922.82184256123,-0.34775517758841,0.0879446747910422,-3.95424940071336,7.67752931899691e-05,0.0032407490184162
"ENSMUSG00000021327",3428.47728152281,-0.310547415737952,0.104648838627342,-2.96751898837426,0.00300213738517874,0.036138016758737
"ENSMUSG00000021388",90.1422058115306,-0.776559676157706,0.252747438286045,-3.07247298498369,0.00212293048176146,0.0289251399373493
"ENSMUSG00000021413",9052.59887502664,-0.284673720251855,0.0860660349813053,-3.30761978652426,0.000940924617080245,0.0170969016621018
"ENSMUSG00000021451",3658.01389593946,-0.300071439623852,0.101343751613464,-2.96092689333581,0.00306714734026486,0.0366103126154164
"ENSMUSG00000021510",940.474802115385,-0.284279720556422,0.0981408228123863,-2.89665108167957,0.00377168984528668,0.0424155562595479
"ENSMUSG00000021536",1525.73690238936,-0.355433862097695,0.0946027051329077,-3.75712154951959,0.000171879022822651,0.00531191505496812
"ENSMUSG00000021548",1106.63259199336,-0.388299429498758,0.099315808656432,-3.90974442791904,9.23938227272704e-05,0.00362869287646619
"ENSMUSG00000021573",10099.564088694,-0.580387925429658,0.110721292074631,-5.24188179666879,1.58947184997813e-07,4.6711289108409e-05
"ENSMUSG00000021607",476.404380082602,-0.369110096043591,0.124887639130897,-2.95553746241227,0.00312124788729709,0.0371001884511708
"ENSMUSG00000021613",429.990641679259,-0.441565405369926,0.14128430169994,-3.1253677871992,0.0017758287796824,0.0255434612233642
"ENSMUSG00000021670",2630.75040551717,-0.371095951501594,0.0794489660428849,-4.67087200733718,2.99923785392333e-06,0.000340813394800821
"ENSMUSG00000021692",773.729118602405,-0.46107784676314,0.141437279675,-3.25994566512184,0.00111433559151229,0.0189748752820449
"ENSMUSG00000021703",2521.35781702772,-0.446194906829575,0.093464337519951,-4.77395890956087,1.80639253536707e-06,0.000248306135204289
"ENSMUSG00000021775",12749.0303053315,-0.267436275144677,0.0853702369712045,-3.13266408332548,0.00173227572236149,0.0251719008419878
"ENSMUSG00000021824",2453.41269400001,-0.232219045475728,0.0788023041181537,-2.94685603516803,0.00321022622607891,0.0378411521601072
"ENSMUSG00000021830",4657.00631977675,-0.248031189051341,0.0876174748701965,-2.83084155779192,0.00464257126096921,0.0481928301724848
"ENSMUSG00000021893",3049.64816884664,-0.265027573153699,0.0818004810434101,-3.2399268289517,0.00119560376096408,0.019901431743782
"ENSMUSG00000021936",3826.16690118234,-0.282622776426616,0.0780594389453065,-3.62060988709694,0.000293909389041877,0.00770720851725968
"ENSMUSG00000021951",567.973299140919,-0.420314045097138,0.145844549715639,-2.88193179598859,0.00395245276456488,0.0435924132049889
"ENSMUSG00000021982",4106.80674922703,-0.29181132745072,0.100819773785143,-2.8943858580024,0.00379901001941214,0.0426013985400526
"ENSMUSG00000022010",9266.74576207124,-0.344091775886395,0.0820189638080362,-4.19527094601847,2.72545590985248e-05,0.00159093821861081
"ENSMUSG00000022051",5388.9344070881,-0.277023174535743,0.0876282112311952,-3.16134690693223,0.00157041345447572,0.0235387912915766
"ENSMUSG00000022090",577.612361579941,-0.649113970193373,0.158345398083122,-4.09935481580984,4.14303467123001e-05,0.0021270489750336
"ENSMUSG00000022122",5505.1682466187,-0.423086397681282,0.112963298734594,-3.74534386318976,0.000180146858935057,0.00546675015236757
"ENSMUSG00000022176",276.826324616249,-0.730083196947947,0.165181886753742,-4.41987442628243,9.8758271136268e-06,0.000794025816753626
"ENSMUSG00000022186",12186.461890437,-0.458575651423913,0.119950588479793,-3.82303794617202,0.000131817484151021,0.0045555356363375
"ENSMUSG00000022280",1744.80771615238,-0.328278718628516,0.0841737665449444,-3.90001222593778,9.6187830652143e-05,0.00375176561433816
"ENSMUSG00000022296",2570.89523600119,-0.2758714629249,0.0863717834697556,-3.19399984395947,0.00140316193171468,0.0218289721179502
"ENSMUSG00000022311",905.882808179731,-0.362954143284727,0.0992476546514239,-3.65705511691424,0.000255129536377614,0.00696904318518658
"ENSMUSG00000022337",2789.00405909066,-0.31281021368358,0.0844483276468367,-3.70416114090209,0.000212091410702859,0.0061691093778673
"ENSMUSG00000022351",1082.93305868283,-0.52585252081978,0.101728460825612,-5.16917799160669,2.35125882672644e-07,6.1657241079311e-05
"ENSMUSG00000022426",2217.37272053607,-0.319754635465877,0.0815779515364683,-3.91962079757464,8.86884006757759e-05,0.00353838535231109
"ENSMUSG00000022472",5041.89886847894,-0.315624209408523,0.0997337679013533,-3.16466745466497,0.0015526029112253,0.0233988652712955
"ENSMUSG00000022483",85.615740440931,-0.671357141871653,0.231261193509836,-2.90302549979315,0.00369576543646463,0.0418845225163162
"ENSMUSG00000022494",1499.73175793718,-0.290781925510379,0.103331864202087,-2.81405864256639,0.00489203032111394,0.0497521818755293
"ENSMUSG00000022505",1064.09402486265,-0.454205724985775,0.145181265218541,-3.12854226956943,0.00175675740842898,0.0253547248320677
"ENSMUSG00000022507",4630.76410966563,-0.299357711372989,0.105070152563225,-2.84912226802804,0.00438400290536984,0.0465868637917886
"ENSMUSG00000022514",1400.44563102638,-0.371068543381219,0.0984231916143269,-3.77013321042522,0.000163160435561508,0.00515012893360353
"ENSMUSG00000022571",414.187747591844,-0.547832922285869,0.158104433042172,-3.46500671578098,0.000530218238589126,0.0115717924158152
"ENSMUSG00000022601",1762.34654471001,-0.299840631679445,0.0972332923262668,-3.08372394378387,0.00204427188736517,0.0281533147757348
"ENSMUSG00000022639",199.507371956269,-0.787289957429441,0.223638163868779,-3.52037391029283,0.000430938830860587,0.00994622126894775
"ENSMUSG00000022656",1168.07191489059,-0.610489781137555,0.131615727433936,-4.63842576445878,3.51072989409086e-06,0.000375307127273505
"ENSMUSG00000022665",94.9490862193817,-0.732475888265107,0.249220299808779,-2.93906992659554,0.00329198792601732,0.0386179863723091
"ENSMUSG00000022762",2516.86533423215,-0.35959858666407,0.0863360239712731,-4.16510478619817,3.11209593924089e-05,0.0017310388721108
"ENSMUSG00000022788",3738.38639718175,-0.305067713968755,0.093219343898034,-3.27257950133662,0.00106570896638032,0.0184603753373502
"ENSMUSG00000022789",4841.50222310313,-0.234562285408796,0.0833529702887522,-2.81408430432921,0.00489163980592928,0.0497521818755293
"ENSMUSG00000022913",473.648384529387,-0.325122262281886,0.115246765726791,-2.82109662888619,0.00478597843399219,0.0490541205095591
"ENSMUSG00000022914",5301.4429111149,-0.302694447440333,0.0776430093665356,-3.89854089775654,9.67740576900146e-05,0.00376601327243447
"ENSMUSG00000022960",956.336170886082,-0.32495728942376,0.105467913876988,-3.08110094794111,0.0020623671511768,0.0283263884704339
"ENSMUSG00000023025",3384.75992753248,-0.245748642472574,0.0748978633604508,-3.28111686297235,0.0010339689410667,0.0181130530323556
