"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007179","transforming growth factor beta receptor signaling pathway","32/1418","225/25615",0.142222222222222,2.56912709606645,5.72287271090673,9.32980084501158e-07,0.000250260800761668,3.24086358763195e-05,"Zfp451/Tgfbr3/Aspn/Skil/Hpgd/Adam17/Fos/Creb1/Spred2/Vasn/Tsc22d1/Wfikkn2/Tab1/Appl1/Ryr1/Cdh3/Atf3/Src/Zyx/Hspa1a/Usp9x/Ptprk/Zeb2/Tgfb3/Ing2/Itga3/Furin/Ogt/Fermt2/Nrros/Smad9/Pals1",32
"GO:0043254","regulation of protein-containing complex assembly","52/1418","463/25615",0.11231101511879,2.0288058196529,5.40796287254195,1.0813426511312e-06,0.000276872870628276,3.58548842683856e-05,"Abca1/P2ry12/Zdhhc5/Map2/Syngr3/Cck/Clip3/Lcat/Cdc42ep2/Cav1/Creb1/Carmil2/Hsp90aa1/Gbp5/Mapk8/Hes1/Jmjd6/Ica1/Cotl1/Clasp2/Xaf1/Nphs1/Snca/Fer/Jam3/Irgm1/Tirap/Nav3/Src/Hspa1a/Hspa8/Brk1/Dact1/Tppp/Sgk1/Dnajc6/Vps35/Pink1/Cdc42ep4/Cyfip2/Mkks/Kank2/Myo1c/Ogt/Fermt2/Stx1a/Prex1/Sirt2/Fkbp4/Capza1/Hspa1b/Thra",52
"GO:0016358","dendrite development","42/1418","343/25615",0.122448979591837,2.21193978296537,5.47021443410501,1.27290295717317e-06,0.000311750537293759,4.03715228939199e-05,"Ctnna2/Scarf1/Crk/Map2/Epha5/Bdnf/Itpka/Caprin1/Septin7/Fat3/Sema4d/Cc2d1a/Mapk8ip2/Cpeb3/Mapk8/Csmd3/Cdc20/Dnm1l/Lpar1/Ngfr/Sez6/Eef2k/Uba6/Dact1/Il1rapl1/Itgb1/Sgk1/Dock10/Pacsin1/Abi3bp/Elavl4/Vldlr/Nlgn3/Bmp7/Prex1/Rock2/Ptprd/Prickle1/Marcks/Ptn/Dgkg/Gpr37",42
"GO:0008203","cholesterol metabolic process","26/1418","165/25615",0.157575757575758,2.84647604393726,5.76020330561836,1.37495875615212e-06,0.000312707190913017,4.04954090107705e-05,"Abca1/Erlin1/Cyp51/Lcat/Sc5d/Sqle/Cln8/Cyb5r3/Stard4/Fgf1/Apoc1/Idi1/Srebf1/Hmgcr/Hmgcs1/Pmp22/Nsdhl/Ccdc3/Gpr146/Pctp/Vldlr/Ldlrap1/Agt/Msmo1/Cln6/Ebp",26
"GO:1901654","response to ketone","36/1418","274/25615",0.131386861313869,2.37339524157598,5.53292777465377,1.38958335949649e-06,0.000312707190913017,4.04954090107705e-05,"Pck2/Sfrp1/Car9/Epha5/Tgfbr3/Cav1/Gatd1/Adcy2/Tfap4/Srr/Wbp2/Fos/Creb1/Mbp/Ucp2/Sox10/Srebf1/Jund/Dusp1/Src/Adcy6/Cldn1/Kcnj11/Hspa8/Fosb/Ncf1/Sgk1/Tgfb3/Ddit4/Mmp14/Aqp1/Smyd3/Efna5/Prkn/Borcs7/Foxo1",36
"GO:0006066","alcohol metabolic process","46/1418","393/25615",0.11704834605598,2.11438179423408,5.38935235524101,1.44334936334785e-06,0.000312707190913017,4.04954090107705e-05,"Abca1/Erlin1/Pck2/Cyp51/Lcat/Sc5d/Itpka/Idh1/Sqle/Gde1/Cln8/Cyb5r3/Stard4/Fgf1/Ipmk/Apoc1/Idi1/Slc5a3/Srebf1/Snca/Chka/Hmgcr/Hmgcs1/Akr1c14/Cyp1b1/Pmp22/Cyp3a13/Bmp6/Nsdhl/Abca2/Ccdc3/Idh2/Gpr146/Pctp/Pnpla2/Vldlr/Ldlrap1/Agt/Ednrb/Acer2/Enpp1/Itpk1/Msmo1/Qdpr/Cln6/Ebp",46
"GO:0000302","response to reactive oxygen species","31/1418","221/25615",0.14027149321267,2.53388878606667,5.543965352041,1.8486823628299e-06,0.000372404150914328,4.82261324549434e-05,"Crk/Pdk2/Capn2/Pcgf2/Mapk13/Fos/Mapk8/Ucp2/Cygb/Nr4a3/Txn1/Apod/Fer/Dusp1/Src/Fbln5/Hspa8/Cyp1b1/Coa8/Ptprk/Top2b/Pink1/Plk3/Mt3/Aqp1/Nqo1/Prdx2/Foxo1/Prdx1/Cbx8/Gpr37",31
"GO:0062197","cellular response to chemical stress","43/1418","360/25615",0.119444444444444,2.15766533458706,5.35496514756939,1.85111241356314e-06,0.000372404150914328,4.82261324549434e-05,"Pnpla8/Pdk2/Pcgf2/Nr4a2/Dnaja1/Cav1/Mapk13/Fos/Kat2b/Mapk8/Bdkrb2/Naglu/Cygb/Slc2a4/Gpx3/Prr5l/Slc25a24/Ngfr/Atp1a1/Snca/Txn1/Fer/Src/Fbln5/Hspa8/Cyp1b1/Etv5/Ptprk/Pkd2/Top2b/Pink1/Mt3/Aqp1/Sirt2/Nqo1/Prkn/Prdx2/Eif2s1/Foxo1/Atf4/Prdx1/Cbx8/Gpr37",43
"GO:0062012","regulation of small molecule metabolic process","47/1418","411/25615",0.114355231143552,2.06573289544576,5.27267013761389,2.1362668041927e-06,0.000414951410621293,5.37359791555915e-05,"Erlin1/Pdk2/Cry1/Pla2g3/Cav1/Antkmt/Adcy10/Creb1/Stard4/Myc/Fgf1/Kat2b/Apoc1/Elovl5/Dnm1l/Acacb/Srebf1/Ankrd26/Snca/Fabp5/Arpp19/Src/Ranbp2/Hdac4/Cd74/Gnmt/Pdp1/Epm2aip1/Esrrb/Bmp6/Angptl4/Cbfa2t3/Gpr146/Ddit4/Ppp1r3e/Phkb/Ogt/Ptpn2/Agt/Sirt2/Nqo1/Prkn/Cop1/Foxo1/Xpc/Cd320/Rorc",47
"GO:0051338","regulation of transferase activity","48/1418","428/25615",0.11214953271028,2.02588877318324,5.18119569897242,2.88450598466492e-06,0.000541614073720583,7.01387242719516e-05,"Zgpat/Ubash3b/Sfrp1/Emp2/Ccdc88a/Dnaja1/Cav1/Pum3/Gab1/Cdc25b/Fem1b/Tfap4/Prkar2b/Adcy10/Fgf1/Cdk5rap1/Kat2b/Cdc20/Strada/Dnm1l/Tab1/Sez6/Irgm1/Cdkn1a/Trib2/Hmgcr/Tirap/Spry4/Src/Sez6l/Pim1/Taf7/Cdc14b/Epm2aip1/Zeb2/Chtf18/Mt3/Vldlr/Mmd2/Smyd3/Fgd4/Agt/Prkn/Sdc4/Chtf8/Trib1/Lyn/Etaa1",48
