"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000021144",1480.15251296025,0.308830279943776,0.0913979520697646,3.3789627989481,0.000727598530968326,0.0143374762547458
"ENSMUSG00000021179",619.572390769816,0.510883771350295,0.120235659012051,4.24902042828318,2.14707340616052e-05,0.00134547302235316
"ENSMUSG00000021186",731.825924493325,1.24301078024029,0.372315247750517,3.33859756684801,0.000842024543430972,0.0158065069854415
"ENSMUSG00000021253",777.548277615265,0.476908436962302,0.12297949218156,3.87795093720358,0.000105339953798859,0.00394619673077264
"ENSMUSG00000021255",432.754966159125,0.407507924155133,0.12848777412548,3.17156964488439,0.00151617508000927,0.0229964783580259
"ENSMUSG00000021257",573.858533996497,0.457997876445511,0.125656485034239,3.64484074435723,0.000267557430950661,0.00721600697872471
"ENSMUSG00000021271",408.937699552766,0.621098959912362,0.140485797923736,4.42108005998962,9.82087752873827e-06,0.000794025816753626
"ENSMUSG00000021285",1425.61476713327,0.326746950380967,0.112716578273185,2.898836669696,0.00374549950840467,0.0422235708470619
"ENSMUSG00000021786",366.388671524578,0.699975236771471,0.156360458310345,4.47667680394079,7.58138861356212e-06,0.000659310045500849
"ENSMUSG00000021866",359.535244483328,0.556094137719954,0.162912786707567,3.41344684452645,0.000641466706819163,0.0130863470709889
"ENSMUSG00000021898",206.181722255617,0.926207493090045,0.19639241836018,4.71610615533742,2.40401040105168e-06,0.000301296744749455
"ENSMUSG00000021902",199.127949613916,0.905172760668329,0.223756788753824,4.04534211323615,5.22467685236712e-05,0.00253716857403412
"ENSMUSG00000021903",2253.4441555687,0.517453738251084,0.0892069489002526,5.80059899626966,6.60784491709569e-09,5.11957802781346e-06
"ENSMUSG00000022095",1424.09289698186,0.4596759110057,0.12045550132276,3.81614709131468,0.000135551717205587,0.00461063767938794
"ENSMUSG00000022177",140.3235271372,0.731124225996278,0.202450861843108,3.61136633027955,0.000304588062985267,0.00788318044307331
"ENSMUSG00000022180",2089.41598777082,0.45558696702966,0.102263253787531,4.45504079086139,8.38772456338419e-06,0.000714826586219678
"ENSMUSG00000022206",328.841686997923,0.524505030191222,0.181267438403198,2.89354246306803,0.00380922780533601,0.0426194243315056
"ENSMUSG00000022346",74.6309296442154,0.786413277592613,0.261135013824997,3.01151984972662,0.00259943406821224,0.0329656020028292
"ENSMUSG00000022388",110.721293231299,0.866969167756642,0.272700282319398,3.1792015775811,0.0014768135007154,0.0225963071092405
"ENSMUSG00000022414",1000.25158392757,0.356699833093632,0.0964193437910097,3.69946339675142,0.000216055796735086,0.00625355750362163
"ENSMUSG00000022438",877.133111472217,0.412304898502713,0.0968237030242503,4.2583054110154,2.0598240892623e-05,0.00130035931857318
"ENSMUSG00000022508",3260.80620775622,0.536408443076281,0.100849201439655,5.31891611851037,1.0438724452899e-07,3.55856116599327e-05
"ENSMUSG00000022512",314.414965599791,0.789417076305957,0.225101776172273,3.50693401771208,0.000453301534803435,0.0103572716631696
"ENSMUSG00000022528",183.517770751079,0.514604700006644,0.180767600398878,2.8467750795559,0.00441645542061151,0.0468064693153474
"ENSMUSG00000022545",1443.27321514302,0.331985449602152,0.101688763315571,3.26472108399924,0.00109571914784003,0.0187515390310575
"ENSMUSG00000022548",10153.1093541151,1.04209316949325,0.283111511955235,3.68085763202036,0.000232450774611173,0.00652074896758107
"ENSMUSG00000022558",4030.60007923951,0.371384461948976,0.109049129360195,3.40566187119452,0.000660038718090661,0.0133140354436158
"ENSMUSG00000022610",2141.69819948844,0.671095204069035,0.129749918188043,5.17222063366879,2.31328205235426e-07,6.1657241079311e-05
"ENSMUSG00000022619",11724.1132671814,0.279002218921328,0.0843894432248232,3.30612702560479,0.000945951933658794,0.0171254437081871
"ENSMUSG00000022622",38.0371427124308,1.71050999969249,0.431514919933372,3.96396490753229,7.37150935336347e-05,0.00318864322200649
"ENSMUSG00000022702",514.383746868661,0.384123149441596,0.117846117588811,3.25953164432519,0.00111596330599587,0.0189836272961074
"ENSMUSG00000022791",5670.17926447362,0.327360915063366,0.114034983706233,2.87070602743002,0.00409556207893574,0.044564382331844
"ENSMUSG00000022847",319.805564056298,0.690093299957791,0.144801506586597,4.76578812075473,1.88116864843536e-06,0.000250504059473287
"ENSMUSG00000022853",180.172307090872,0.531189259760209,0.180585937999208,2.9414763167359,0.00326651820046811,0.0383720211764156
"ENSMUSG00000022861",8097.81721591539,0.462029779983542,0.113459288399497,4.07220763060584,4.65696371850428e-05,0.00231900605190405
"ENSMUSG00000022900",37.6831320399692,1.15373654277392,0.389464097185314,2.96236944846023,0.00305281239058193,0.0365018106752618
"ENSMUSG00000022948",388.413008496226,0.527744542937935,0.14720617527767,3.5850706802379,0.000336986928947339,0.00847725750509809
"ENSMUSG00000022949",1849.29752078632,0.520177877079758,0.151195392996384,3.44043470353755,0.000580780556245666,0.0123433972334257
"ENSMUSG00000022987",490.922635767489,0.477079008726996,0.120861315127069,3.94732597626802,7.90289224760809e-05,0.0033015881951098
"ENSMUSG00000022994",1178.19937745757,0.344479339748202,0.109230318899804,3.15369709818563,0.00161216322047573,0.0238841166585393
"ENSMUSG00000023007",2096.28861820952,0.338240056281531,0.104121086132649,3.24852600798476,0.00116004603413628,0.0195385223832539
"ENSMUSG00000023067",1551.44475883579,0.920534889197893,0.161751485157742,5.69104443337985,1.26264642337321e-08,7.76075763141596e-06
"ENSMUSG00000023191",1363.9381717912,0.291107367837223,0.0942793344896537,3.08771131460596,0.00201704309381163,0.0278836168159118
"ENSMUSG00000023224",765.50371520188,0.662044677780627,0.143989548019399,4.5978662124242,4.26839930710494e-06,0.000419964244094653
"ENSMUSG00000023393",40.1449505364273,1.99156421613286,0.438317397214968,4.54365769825038,5.52864096578717e-06,0.00050664346914969
"ENSMUSG00000023826",306.24701313761,0.475557337171078,0.134269183240972,3.54182043632154,0.000397375881639416,0.00951302233503349
"ENSMUSG00000023991",2110.55941070127,0.349557765032679,0.089717761353254,3.89619357148617,9.77163011632394e-05,0.00377396558081297
"ENSMUSG00000024014",299.692821611245,0.416348981898105,0.138501782876377,3.00609113652875,0.00264629670462191,0.0332151158544039
"ENSMUSG00000024066",547.915720527465,0.792624005926539,0.131638256957932,6.02122835901602,1.73098335456232e-09,2.37706548345939e-06
"ENSMUSG00000024087",272.446706626323,0.555269158231778,0.18741291990974,2.96281152067425,0.00304843168076491,0.0365018106752618
"ENSMUSG00000024339",251.418815909081,0.763785034321149,0.171981425849695,4.44109025464569,8.95042422707462e-06,0.000749861246005937
"ENSMUSG00000024392",6396.20991758771,0.227107401157529,0.074627976417442,3.04319388063227,0.00234081465639639,0.0307864088103984
"ENSMUSG00000024424",1567.41849332984,0.363040156033596,0.102319457323849,3.54810478406413,0.000388013824346117,0.00943465853920052
"ENSMUSG00000024430",67.1364768967069,0.988981607411654,0.308742689089521,3.20325514533851,0.00135883535342194,0.0214854810752106
"ENSMUSG00000024530",1030.82562847086,0.466388561405014,0.10783953624405,4.32483834453383,1.52643756503979e-05,0.00105764749171151
"ENSMUSG00000024558",2975.14917177859,0.47892471263837,0.116455321707753,4.11251890952859,3.91365403108025e-05,0.00202760586503838
"ENSMUSG00000024610",168.177939589676,0.778864564061308,0.197632028267399,3.94098350803492,8.11482058773369e-05,0.00333294257633544
"ENSMUSG00000024769",2195.41657644558,0.402510655742456,0.115309855488335,3.49068736612177,0.00048177966015219,0.0108336864212323
"ENSMUSG00000024831",399.466042006182,0.399380727779436,0.131119209984652,3.0459360442012,0.00231957169006223,0.030670207540772
"ENSMUSG00000024843",5185.95283201449,0.276824748624317,0.0930623760518476,2.97461509547199,0.00293356382759482,0.035716139600967
"ENSMUSG00000024883",103.514104089281,0.682237780425431,0.238389885983391,2.86185706919196,0.00421166792602137,0.0452634803272599
"ENSMUSG00000024914",2852.32913056341,0.320715936667651,0.097274275638542,3.29702724139924,0.000977140232901821,0.0174951210817348
"ENSMUSG00000025086",827.272432771696,0.382056826360496,0.131148768616752,2.91315603181114,0.00357795772893035,0.0411513424356396
"ENSMUSG00000025193",245.243840598993,0.445666623749266,0.157130421818328,2.83628477917878,0.00456417285921881,0.047666042201833
"ENSMUSG00000025227",440.026790628798,0.445539820166797,0.118302387605971,3.76611012831588,0.000165810676808528,0.00519331412791242
"ENSMUSG00000025236",708.180409280271,0.39194339690474,0.121054648672483,3.23773932850077,0.00120480838074334,0.0200155544344738
"ENSMUSG00000025464",294.220358234351,0.691625437750287,0.161915420251811,4.27152297585165,1.9414252034652e-05,0.00123530083314388
"ENSMUSG00000025509",1155.96106130582,0.619249009819985,0.128769455579806,4.80897435678136,1.51706663994925e-06,0.000222917248947715
"ENSMUSG00000025533",645.519421004958,0.720845247039425,0.188704525057354,3.81996799928532,0.000133468989234367,0.00458665105141084
"ENSMUSG00000025727",674.984956035664,1.11158152734904,0.14747898778411,7.53721966804014,4.80097231510102e-14,4.09162865554484e-10
"ENSMUSG00000025738",8952.70985468068,0.376477830895676,0.113529765385448,3.31611564260251,0.000912780494285808,0.0167654563848077
